mode;car_cost;car_time;car_ok;pass_cost;pass_time;pass_ok;bus_cost;bus_g_time;bus_w_time;bus_time;bus_ok;train_cost;train_g_time;train_w_time;train_time;train_ok;walk_time;walk_ok;bike_time;bike_ok;id
1;9.06;12.97;1;9.06;12.97;1;22.3;133.43;15.48;3.93;1;0;0;0;0;0;112.55;1;52.89;1;150
1;2.81;10.59;1;2.81;10.59;1;10.43;3.27;1.86;4.73;1;0;0;0;0;0;19.04;1;9.2;1;151
1;39.15;46.24;1;39.15;46.24;1;31.47;41.35;29.91;50.24;1;0;0;0;0;0;340.18;1;154.15;1;152
2;144.68;227.09;1;144.68;227.09;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;153
1;10.44;31.7;1;10.44;31.7;1;28.63;19.21;10.05;47.54;1;0;0;0;0;0;132.48;1;60.66;1;154
2;3.85;18.52;1;3.85;18.52;1;0;0;0;0;0;0;0;0;0;0;48.35;1;22.31;1;155
1;24.47;16.15;1;24.47;16.15;1;20.24;87.13;53.33;25.47;1;0;0;0;0;0;162.11;1;75.85;1;156
1;20.98;40.64;1;20.98;40.64;1;0;0;0;0;0;0;0;0;0;0;0;0;190.21;1;157
1;11.29;9.17;1;11.29;9.17;1;0;0;0;0;0;0;0;0;0;0;74.45;1;34.49;1;158
6;5.13;8.82;1;5.13;8.82;1;0;0;0;0;0;0;0;0;0;0;34.18;1;15.76;1;159
1;0.59;7.37;1;0.59;7.37;1;0;0;0;0;0;0;0;0;0;0;4.01;1;2.66;1;160
2;5.41;13.52;1;5.41;13.52;1;37.86;72.61;15.11;13.02;1;0;0;0;0;0;124.06;1;58.27;1;161
6;44.33;51.67;1;44.33;51.67;1;49.4;17.85;12.43;52.1;1;0;0;0;0;0;290.79;1;138.2;1;162
6;38.36;30.37;1;38.36;30.37;1;32.78;29.18;24.62;84.8;1;0;0;0;0;0;253.39;1;113.21;1;163
6;1.69;1.2;1;1.69;1.2;1;0;0;0;0;0;0;0;0;0;0;10.61;1;4.66;1;164
